ancestor_concept_id,descendant_concept_id,min_levels_of_separation,max_levels_of_separation
44777583,44777583,0,0
44777584,44777584,0,0
44777585,44777585,0,0
44777586,44777586,0,0
44777587,44777587,0,0
44777588,44777588,0,0
44777589,44777589,0,0
44777590,44777590,0,0
44777591,44777591,0,0
44777592,44777592,0,0
44777593,44777593,0,0
44777594,44777594,0,0
44777595,44777595,0,0
44777596,44777596,0,0
44777597,44777597,0,0
44777598,44777598,0,0
44777599,44777599,0,0
44777600,44777600,0,0
44777601,44777601,0,0
44777602,44777602,0,0
44777603,44777603,0,0
44777604,44777604,0,0
44777605,44777605,0,0
44777606,44777606,0,0
44777607,44777607,0,0
44777608,44777608,0,0
44777609,44777609,0,0
44777610,44777610,0,0
44777611,44777611,0,0
44777612,44777612,0,0
44777613,44777613,0,0
44777614,44777614,0,0
44777615,44777615,0,0
44777616,44777616,0,0
44777617,44777617,0,0
44777618,44777618,0,0
44777619,44777619,0,0
44777620,44777620,0,0
44777621,44777621,0,0
44777622,44777622,0,0
44777623,44777623,0,0
44777624,44777624,0,0
44777625,44777625,0,0
44777626,44777626,0,0
44777627,44777627,0,0
44777628,44777628,0,0
44777629,44777629,0,0
44777630,44777630,0,0
44777631,44777631,0,0
44777632,44777632,0,0
44777633,44777633,0,0
44777634,44777634,0,0
44777635,44777635,0,0
44777636,44777636,0,0
44777637,44777637,0,0
44777638,44777638,0,0
44777639,44777639,0,0
44777640,44777640,0,0
44777641,44777641,0,0
44777642,44777642,0,0
44777643,44777643,0,0
44777644,44777644,0,0
44777645,44777645,0,0
44777646,44777646,0,0
44777647,44777647,0,0
44777648,44777648,0,0
44777649,44777649,0,0
44777650,44777650,0,0
44777651,44777651,0,0
44777652,44777652,0,0
44777653,44777653,0,0
44777654,44777654,0,0
44777655,44777655,0,0
44777656,44777656,0,0
44777657,44777657,0,0
44777658,44777658,0,0
44777659,44777659,0,0
44777660,44777660,0,0
44777661,44777661,0,0
44777662,44777662,0,0
44777663,44777663,0,0
44777664,44777664,0,0
44819154,44819154,0,0
45744809,45744809,0,0
45744810,45744810,0,0
45744811,45744811,0,0
45744812,45744812,0,0
45744813,45744813,0,0
45744814,45744814,0,0
45744815,45744815,0,0
45744816,45744816,0,0
45890995,45890995,0,0
45890996,45890996,0,0
45890997,45890997,0,0
45890998,45890998,0,0
45890999,45890999,0,0
45891000,45891000,0,0
45891001,45891001,0,0
45891002,45891002,0,0
45891003,45891003,0,0
45891004,45891004,0,0
45891005,45891005,0,0
45891006,45891006,0,0
45891007,45891007,0,0
45891008,45891008,0,0
45891009,45891009,0,0
45891010,45891010,0,0
45891011,45891011,0,0
45891012,45891012,0,0
45891013,45891013,0,0
45891014,45891014,0,0
45891015,45891015,0,0
45891016,45891016,0,0
45891017,45891017,0,0
45891018,45891018,0,0
45891019,45891019,0,0
45891021,45891021,0,0
45891022,45891022,0,0
45891023,45891023,0,0
45891024,45891024,0,0
45891025,45891025,0,0
45891026,45891026,0,0
45891027,45891027,0,0
45891028,45891028,0,0
45891029,45891029,0,0
45891030,45891030,0,0
45891031,45891031,0,0
45891032,45891032,0,0
45891033,45891033,0,0
45891034,45891034,0,0
45891035,45891035,0,0
45891036,45891036,0,0
45891037,45891037,0,0
45891038,45891038,0,0
45956701,45956701,0,0
194152,194152,0,0
437738,437738,0,0
444074,444074,0,0
1361364,1361364,0,0
1361364,1361365,1,1
1361364,36036059,2,2
1361364,1361370,1,1
1361364,1361368,0,0
1361365,1361365,0,0
1361365,36036059,1,1
1361365,1361370,0,0
1361368,36036059,2,2
1361368,1361368,0,0
1361368,1361370,1,1
1361370,36036059,1,1
1361370,1361370,0,0
1971546,1971546,0,0
4195342,4195342,0,0
4197973,4197973,0,0
4226696,4226696,0,0
4226696,37110496,1,1
21601386,21601387,1,1
21601386,21603812,1,1
21601386,21603848,1,1
21601386,21601386,0,0
21603215,21603215,0,0
21603812,21603812,0,0
21605007,21603530,1,1
35774678,35774678,0,0
36217213,36217213,0,0
36217213,1361365,2,3
36217213,1361364,2,2
36217213,35604884,2,3
36217213,35604880,2,3
36217213,36036059,3,4
36217213,35604879,2,2
36217213,1361370,2,3
36217213,35604883,2,2
36217213,1361368,2,2
37110496,37110496,0,0
40721254,40721254,0,0
44091285,44091285,0,0
45876109,3043879,1,1
45876109,45876109,0,0
3001467,3001467,0,0
3002069,3002069,0,0
3011539,3011539,0,0
3012056,3012056,0,0
3018910,3018910,0,0
3026074,3026074,0,0
3026972,3026972,0,0
3041300,3041300,0,0
3042479,3042479,0,0
4004858,3046700,1,1
4004858,3026074,1,1
4004858,21492201,1,1
4004858,3041300,1,1
4004858,4004858,0,0
4004858,3046614,1,1
4004858,3012056,1,1
4004858,3011539,1,1
21603365,21603365,0,0
21603890,21603890,0,0
21605007,21603444,1,1
21605007,21605008,1,1
21605007,21603215,1,1
21605007,21603365,1,1
36207527,36207527,0,0
36207527,40764263,1,3
36207527,40765028,1,2
37498042,37498042,0,0
44810792,44810792,0,0
4220699,4197973,2,2
4220699,3042479,2,2
4220699,3002069,2,2
4220699,3018910,2,2
4220699,4195342,2,2
4220699,44810792,2,2
4220699,3001467,2,2
4220699,4220699,0,0
4220699,4154344,1,1
21601387,21601387,0,0
21603848,21603848,0,0
21605007,21605007,0,0
36217206,35604435,2,3
36217206,35604434,2,2
36217206,35604439,2,3
36217206,36217206,0,0
40741270,40741270,0,0
45875977,40764263,1,1
45875977,45875977,0,0
1830184,1830282,1,1
1830184,1830283,1,2
1830184,1830184,0,0
1830278,1830278,0,0
1830278,1830283,2,3
1830278,1830280,1,1
1830278,1830282,2,2
1830278,1830184,1,1
1830278,1830279,0,0
1830278,1830281,2,2
1830279,1830282,2,2
1830279,1830283,2,3
1830279,1830184,1,1
1830279,1830279,0,0
1830280,1830280,0,0
1830280,1830283,1,2
1830280,1830282,1,1
1830280,1830184,0,0
1830280,1830281,1,1
1830281,1830283,1,1
1830281,1830282,0,0
1830281,1830281,0,0
1830282,1830282,0,0
1830282,1830283,1,1
1830283,1830283,0,0
4304866,4226696,1,1
4304866,37110496,2,2
4304866,4304866,0,0
21601213,21601213,0,0
21601213,35774678,2,2
21601213,42899580,1,1
21601386,21603890,1,1
21603248,21603248,0,0
21603530,21603530,0,0
21605007,21603248,1,1
21605008,21605008,0,0
35604434,35604434,0,0
35604434,35604435,1,1
35604434,35604439,1,1
35604435,35604435,0,0
35604439,35604439,0,0
35604879,35604880,1,1
35604879,35604884,1,1
35604879,35604879,0,0
35604879,35604883,0,0
35604880,35604880,0,0
35604880,35604884,0,0
35604883,35604884,1,1
35604883,35604883,0,0
35604884,35604884,0,0
36034746,36034746,0,0
36034747,36034747,0,0
36034747,36034746,0,0
36034751,36034751,0,0
36036059,36036059,0,0
36210656,36210656,0,0
36210656,3045657,1,2
36210656,3043879,1,3
37593197,37593197,0,0
40764263,40764263,0,0
40765028,40764263,1,1
40765028,40765028,0,0
42899580,44091285,1,1
42899580,40741270,1,1
